,northing, easting, zone, longitude, latitude,distance_km
2125,4475526,447660.0,30,-3.617044294023504,40.42872461614522,7.448053178064922
2126,4473192,440394.0,30,-3.7024798215831223,40.407209948946814,1.0811220415368734
2127,4473161,440387.0,30,-3.702559409559037,40.4069301845808,1.1116287652979184
2128,4473272,440065.0,30,-3.706364469976824,40.40790700644501,1.0310302492493102
2129,4473245,440044.0,30,-3.706609404007867,40.407662265323765,1.0625027886939462
2130,4473418,439609.9,30,-3.71174151960136,40.40918935329553,1.110564937418005
2131,4473365,439646.8,30,-3.711301631115998,40.40871458056724,1.1293346514896856
2132,4473498,439449.3,30,-3.7136417817124094,40.40989836405814,1.1652332931826797
2133,4473505,439400.1,30,-3.714222269740434,40.409957843017,1.1980339955913144
2134,4473779,439213.0,30,-3.7164534191184666,40.412412517911854,1.2127346694282528
2135,4473747,439203.1,30,-3.716567036917063,40.41212352435101,1.235019358388252
2136,4474070,439272.0,30,-3.715785857159676,40.415038284273166,1.0686183709924875
2137,4474092,439243.0,30,-3.716129748840016,40.41523435363339,1.0933226838855443
2138,4474256,438995.0,30,-3.719068381905478,40.41669359683442,1.3268423786981556
2139,4476314,443352.0,30,-3.6678990499759454,40.43554111940924,3.6567083727400176
2140,4476462,443627.0,30,-3.6646700438567033,40.436893065253045,3.9676916586810225
2141,4476235,443088.1,30,-3.6710032433311737,40.4348114305803,3.3946367790198515
2142,4476383,443328.0,30,-3.668188153267586,40.43616107142128,3.6760730017442858
2143,4476572,443622.0,30,-3.664738752654585,40.437883662664426,4.025438159677075
2144,4477158,443800.0,30,-3.662691969552789,40.44317469856884,4.522714036037406
2145,4477318,443517.0,30,-3.666043026358592,40.44459688159777,4.417586390511049
2146,4477416,443539.0,30,-3.665792331871116,40.445481208759816,4.501517215701288
2147,4477516,443507.0,30,-3.6661785484205,40.4463798845854,4.549527548987896
2148,4477705,443595.0,30,-3.6651576836536215,40.44808846556219,4.746635154880101
2149,4477709,443550.0,30,-3.665688669100583,40.44812144501855,4.718605603190573
2150,4477999,443592.7,30,-3.6652109190166335,40.45073680635085,4.9621606113901695
2151,4478355,441645.0,30,-3.688211304356388,40.45380936016329,4.295374332502801
2152,4478409,441337.0,30,-3.691848449717493,40.45427413370157,4.263045975818678
2153,4478380,441322.0,30,-3.692022661380334,40.45401183020687,4.231302130946776
2154,4478447,440879.9,30,-3.697242469368372,40.45458406489813,4.215403786243157
2155,4478538,440530.0,30,-3.701377303375044,40.455378867591904,4.274334635718367
2156,4475282,439730.0,30,-3.7105027799495183,40.42598982096919,1.1722484055091915
2157,4479091,443102.0,30,-3.671095236095225,40.4605406142077,5.5672059622069785
2158,4477035,439298.0,30,-3.715762539950573,40.44175017531133,2.9490576692974
2159,4477176,439522.0,30,-3.713134880436797,40.443036684148296,3.0147126363337073
2160,4477204,439491.0,30,-3.713503061510828,40.443286664213225,3.0500270837081365
2161,4477364,439736.0,30,-3.710629489332372,40.44474580452203,3.149710578999844
2162,4477315,439626.0,30,-3.711921850563267,40.44429641177564,3.1242028256435286
2163,4477753,439876.0,30,-3.709015561495173,40.44826021378365,3.5123131662998843
2164,4477739,439846.0,30,-3.709367986368923,40.44813192573694,3.50236938818732
2165,4478458,439697.0,30,-3.711193227075616,40.45459817213441,4.2354964655955705
2166,4478456,439666.0,30,-3.711558613803701,40.45457790551225,4.238203179583384
2167,4478769,439544.0,30,-3.7130271417286393,40.45738866675872,4.566992622714927
2168,4478758,439519.0,30,-3.713320925764602,40.45728775541116,4.560484367010031
2169,4478960,439643.0,30,-3.711877767756956,40.45911646546386,4.740195848285775
2170,4478962,439629.0,30,-3.7120430682168974,40.45913346526204,4.744200070108065
2171,4479603,440137.0,30,-3.706112380809053,40.46494459786211,5.337795426330735
2172,4479611,440117.2,30,-3.706346669290693,40.46501523809739,5.346513159297697
2173,4475550,438430.0,30,-3.7258528435299945,40.42830888268468,2.2843723007976995
2174,4475531,438416.0,30,-3.726016037323315,40.42813668661299,2.285441831847103
2175,4475786,438247.9,30,-3.7280223940496953,40.43042136835901,2.5692460760123406
2176,4475797,438216.0,30,-3.728399517395517,40.43051809200476,2.601520752108083
2177,4476121,438030.0,30,-3.7306237759492777,40.43342297576635,2.94640712951768
2178,4476073,438029.0,30,-3.730630884738223,40.43299049842349,2.9172612353540788
2179,4476284,437915.0,30,-3.7319954397779136,40.43488276683232,3.138832077269975
2180,4476325,437863.0,30,-3.732612492190106,40.43524822727984,3.2050472063434254
2181,4476625,438070.0,30,-3.7302013302716737,40.43796618334533,3.258913885646931
2182,4476618,438059.0,30,-3.730330336190258,40.43790230539838,3.2614818591744674
2183,4476867,438034.0,30,-3.73064936597477,40.44014353037952,3.461664117559111
