northing, easting, zone, longitude, latitude
4473774,444439,30,-3.6548618078253483,40.41273272967888
4473649,444403,30,-3.655275167270624,40.4116042546794
4473647,444413.8,30,-3.6551477098983587,40.41158695883986
4473477,444530,30,-3.6537634225247992,40.41006325309852
4473485,444548,30,-3.653551986745284,40.41013652097914
4473390,444730,30,-3.651398832046027,40.40929281011653
4473440,444771,30,-3.6509199853113823,40.409745960360596
4473094,445643.3,30,-3.640610259237826,40.406686402017655
4473100,445626,30,-3.640814645550866,40.406739323900766
4473203,445787,30,-3.638926096511219,40.40767771015265
4473263,445862,30,-3.6380473421336768,40.408223107290375
4473584,445761,30,-3.6392649768031884,40.41110829385872
4473610,445705,30,-3.639927176738722,40.41133886649875
4473533,445988.6,30,-3.6365782939888796,40.410663654587964
4473577,445987,30,-3.6366008856354455,40.4110599293502
4473502,446186.2,30,-3.6342468943629167,40.41039718585873
4473402,446468,30,-3.630917391382697,40.40951449460355
4476791,442709,30,-3.675522747590667,40.439794124690835
4476896,442988,30,-3.6722426738735283,40.44075919197327
4476941,443012.8,30,-3.6719543064504396,40.44116627418769
4477379,443709.2,30,-3.663782169695307,40.44515943545021
4477853,444816.8,30,-3.6507633216521365,40.44950372930329
4477876,444797.3,30,-3.6509952661232763,40.449709630487625
4478025,445803,30,-3.6391486548663643,40.45111808159386
4478269,448137.3,30,-3.611641558666274,40.45346509982516
4478312,447957.7,30,-3.6137630766591977,40.45384124233412
4478082,448567.1,30,-3.6065578450751827,40.451807201489935
4478093,448560,30,-3.606642463391533,40.45190585662699
4478129,449228,30,-3.598767891924777,40.45227123861416
4478140,449172.2,30,-3.5994268027772183,40.4523669228642
4478114,449521,30,-3.5953114488629585,40.45215395554309
4478125,449511,30,-3.5954302499949344,40.45225244286925
4478138,450011,30,-3.589534937690876,40.45239977645226
4478142,449972.5,30,-3.5899892718118513,40.45243349454209
4478344,450221,30,-3.587074620607928,40.4542681558188
4478661,450264,30,-3.5865923552016823,40.45712646211228
4478650,450254,30,-3.5867094285191006,40.45702676879642
4478532,447374.5,30,-3.620658926030435,40.45578640396282
4478983,450202,30,-3.5873488160557137,40.46002352243404
4478954,450190,30,-3.5874880686823314,40.45976155350615
4479129,450279,30,-3.586452112609868,40.461343390538595
4479304,450252.3,30,-3.586780737480022,40.462918298779655
4479233,449945.3,30,-3.59039606144331,40.462260249938254
4479431,450151.6,30,-3.5879784241450223,40.464056356004804
4479440,450133.6,30,-3.58819143674691,40.46413635326808
4479690,450468.6,30,-3.584259706266109,40.466408544125386
4479759,450516.3,30,-3.5837024582907744,40.46703298048307
4480152,450813.4,30,-3.580228550469357,40.470591007115495
4480179,450800,30,-3.5803887096202422,40.47083344585143
4480423,450948.9,30,-3.5786511612053538,40.47304035185618
4480733,451174,30,-3.5760196702599765,40.47584628288764
4480557,450799,30,-3.5804298257763767,40.474238638087364
4480551,450778.1,30,-3.58067590781563,40.47418334811623
4480521,450445.3,30,-3.5845994470530735,40.473893300261444
4476784,444886,30,-3.649854557110113,40.43987820410848
4475948,439884,30,-3.708750439215415,40.43200058569768
4478749,447689.3,30,-3.616964298535456,40.45776113698912
4473438,446499,30,-3.630555079488955,40.409840797772674
4478632,447764.6,30,-3.6160666143509994,40.45671187119182
4476292,439231.7,30,-3.716473193763289,40.43505208211701
4476961,438599.7,30,-3.7239887138414915,40.441032282685825
4476836,438654,30,-3.723336425589049,40.43991024105146
4477181,438320,30,-3.72730784591359,40.442993426972386
4477245,438181,30,-3.728952985205615,40.44355964025241
4477521,438036,30,-3.7306895784662633,40.44603515791591
4477506,438005,30,-3.7310536432066823,40.44589772125817
4478015,437716,30,-3.7345112246211296,40.45046137637206
4475361,447944,30,-3.6136828461573156,40.427256014809345
4478104,437626,30,-3.735581248074379,40.451256371475544
4478438,437420.7,30,-3.738035094770239,40.45424972843495
4479198,436941,30,-3.7437675306092366,40.46105980042411
4479163,436909,30,-3.744141454434065,40.46074208008419
4480283,436565,30,-3.748310483288368,40.47080519231716
4480273,436491.3,30,-3.749178813142749,40.47070947775993
4480607,436430,30,-3.7499353507575894,40.47371355829653
4480984,436931.1,30,-3.744061838525588,40.47714788936372
4480986,436875.4,30,-3.744719111427334,40.477161673989066
4481127,437264,30,-3.7401488753255734,40.47846129190441
4481172,437371.5,30,-3.7388851528251603,40.478874779954566
4481169,437523,30,-3.737097615045431,40.47885916713175
4481121,437981,30,-3.7316899004179436,40.478461099685255
4481157,437969.4,30,-3.7318302662821354,40.47878453275889
4481316,438504.6,30,-3.7255319376512466,40.48025666341807
